City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,nema,57.5067,50.5011,1.03,99,100,6.34,RU,1715116496
330,concepcion,-36.827,-73.0498,10.46,64,48,2.97,CL,1715116221
331,callao,-12.0667,-77.15,20.16,83,40,4.63,PE,1715116199
332,thurso,58.5927,-3.5259,7.14,88,78,3.87,GB,1715116497
333,palmer,42.1584,-72.3287,26.85,23,20,4.63,US,1715116297
334,zapolyarnyy,69.4154,30.8136,-3.4,85,19,1.74,RU,1715116497
335,radhanpur,23.8333,71.6,30.01,53,2,6.49,IN,1715116497
336,ubari,26.5921,12.7805,28.89,29,100,1.57,LY,1715116497
337,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,78,100,3.58,RU,1715116497
338,atafu village,-8.5421,-172.5159,29.5,75,96,4.94,TK,1715116497
339,guerrero negro,27.9769,-114.0611,20.12,53,0,8.76,MX,1715116498
340,saint-joseph,-21.3667,55.6167,22.21,73,25,5.9,RE,1715116498
341,fortuna,40.5982,-124.1573,15.52,66,0,8.23,US,1715116498
342,vernon,50.2581,-119.2691,17.34,34,96,2.24,CA,1715116385
343,botou,38.0667,116.5667,14.48,34,0,2.72,CN,1715116498
344,ketchikan,55.3422,-131.6461,11.26,58,40,6.69,US,1715116498
345,mount isa,-20.7333,139.5,18.87,48,68,3.09,AU,1715116498
346,hays,30.0502,-98.0336,32.08,71,95,3.58,US,1715116498
347,nizhniy lomov,53.5304,43.6766,7.03,94,99,4.97,RU,1715116498
348,altai,46.3722,96.2583,9.87,55,100,1.41,MN,1715116499
349,wynyard,-41.0,145.7167,13.2,68,93,3.78,AU,1715116499
350,el calafate,-50.3408,-72.2768,-2.09,71,89,0.92,AR,1715116499
351,laojunmiao,39.8333,97.7333,13.1,26,64,1.02,CN,1715116499
352,lebu,-37.6167,-73.65,10.39,68,3,2.21,CL,1715116499
353,klein schwulper,52.3415,10.429,11.83,75,100,2.57,DE,1715116499
354,ulsteinvik,62.3432,5.8487,10.5,94,100,2.24,NO,1715116499
355,eureka,40.8021,-124.1637,15.67,67,35,5.36,US,1715116232
356,inhambane,-23.865,35.3833,22.59,74,0,3.23,MZ,1715116500
357,zhangye,38.9342,100.4517,17.34,27,55,1.44,CN,1715116500
358,tubarjal,30.4999,38.216,19.67,35,0,5.98,SA,1715116500
359,tarko-sale,64.9225,77.785,0.96,99,100,2.66,RU,1715116500
360,poronaysk,49.2167,143.1167,0.87,60,9,6.27,RU,1715116500
361,illizi,26.4833,8.4667,32.89,16,8,0.64,DZ,1715116500
